airportCode,airportName,cityName,countryName,countryCode,latitude,longitude,geometry
OAKB,Kabul Intl,Kabul,Afghanistan,AFG,34.56584722,69.21235556,"{""type"":""Point"",""coordinates"":[69.21235555555556,34.56584722222222]}"
OAKN,Kandahar,Kandahar,Afghanistan,AFG,31.50587222,65.84779722,"{""type"":""Point"",""coordinates"":[65.84779722222221,31.505872222222223]}"
LATI,Tirana,Tirana,Albania,ALB,41.41472222,19.72055556,"{""type"":""Point"",""coordinates"":[19.720555555555553,41.414722222222224]}"
DAUA,Touat Cheikh Sidi Mohamed Belkebir,Adrar,Algeria,DZA,27.83916667,-0.185277778,"{""type"":""Point"",""coordinates"":[-0.18527777777777776,27.839166666666664]}"
DAAG,Houari Boumediene,Algiers,Algeria,DZA,36.69383333,3.214555556,"{""type"":""Point"",""coordinates"":[3.2145555555555556,36.69383333333333]}"
DABB,Rabah Bitat,Annaba,Algeria,DZA,36.82222222,7.809444444,"{""type"":""Point"",""coordinates"":[7.809444444444444,36.82222222222222]}"
DABT,Mostepha Ben Boulaid,Batna,Algeria,DZA,35.75916667,6.3225,"{""type"":""Point"",""coordinates"":[6.3225,35.759166666666665]}"
DAAE,Soummam-Abane Ramdane,Bejaia,Algeria,DZA,36.71194444,5.069444444,"{""type"":""Point"",""coordinates"":[5.069444444444445,36.71194444444445]}"
DAUB,Mohamed Khider,Biskra,Algeria,DZA,34.80166667,5.741666667,"{""type"":""Point"",""coordinates"":[5.741666666666667,34.80166666666666]}"
DAOI,Chlef,Chlef,Algeria,DZA,36.21694444,1.34,"{""type"":""Point"",""coordinates"":[1.3399999999999999,36.216944444444444]}"
DABC,Mohamed Boudiaf,Constantine,Algeria,DZA,36.28527778,6.619166667,"{""type"":""Point"",""coordinates"":[6.6191666666666675,36.28527777777778]}"
DAAJ,Tiska,Djanet,Algeria,DZA,24.29305556,9.451944444,"{""type"":""Point"",""coordinates"":[9.451944444444443,24.293055555555558]}"
DAUH,Oued Irara-Krim Belkacem,Hassi Messaoud,Algeria,DZA,31.67388889,6.140555556,"{""type"":""Point"",""coordinates"":[6.140555555555556,31.67388888888889]}"
DAAV,Ferhat Abbas,Jijel,Algeria,DZA,36.79444444,5.873611111,"{""type"":""Point"",""coordinates"":[5.873611111111112,36.794444444444444]}"
DAOO,Ahmed Benbella,Oran,Algeria,DZA,35.62722222,-0.611388889,"{""type"":""Point"",""coordinates"":[-0.6113888888888889,35.62722222222222]}"
DAAS,8 Mai 45,Setif,Algeria,DZA,36.17861111,5.33,"{""type"":""Point"",""coordinates"":[5.33,36.17861111111111]}"
DAAT,Aguenar-Hadj Bey Akhamok,Tamanrasset,Algeria,DZA,22.81111111,5.450833333,"{""type"":""Point"",""coordinates"":[5.450833333333334,22.811111111111114]}"
DABS,Cheikh Larbi Tebessi,Tebessa,Algeria,DZA,35.43263611,8.1256,"{""type"":""Point"",""coordinates"":[8.1256,35.43263611111111]}"
